drug_a,drug_b,cell_line,synergy
104842,3902,NCI-H322M,0
60953,3011155,RXF393,0
6442177,644241,MDA-MB-231,0
123596,3902,NCI-H226,0
3690,454216,RXF393,0
5746,241902,OVCAR-3,0
2141,163659,UACC-62,0
148124,3902,SF268,0
60953,644241,MDA-MB-231,0
644241,123596,HL-60,0
148121,6252,NCI-H322M,0
3950,4212,U251,0
451668,454216,BT-549,0
6239,148124,CAKI-1,0
5746,454216,BT-549,0
2708,452548,NCI-H322M,0
2708,11683,CAKI-1,0
249332,3902,K-562,0
249332,3902,PC-3,0
5311,36314,NCI-H322M,0
644241,657237,HL-60,0
5352062,644241,CCRF-CEM,0
9444,2187,K-562,0
9444,3902,UACC-62,0
4842,119182,HL-60,0
4114,148124,NCI-H23,0
60749,123596,HL-60,0
387447,148124,K-562,0
5311,123596,NCI-H322M,0
60953,657237,NCI-H322M,0
6442177,3011155,IGROV-1,0
5329102,2733525,RXF393,0
148121,6252,MDA-MB-468,0
9444,644241,OVCAR-8,0
5284616,2187,MDA-MB-231,0
2141,249332,LOXIMVI,0
57469,454216,COLO-205,0
2578,454216,M14,0
3011155,2187,MDA-MB-231,0
644241,5453,HL-60,0
5329102,60953,RXF393,0
148121,20279,OVCAR-8,0
5790,126941,IGROV-1,0
2141,457193,UACC-62,0
57469,454216,KM12,0
57469,454216,RPMI-8226,0
4114,126941,RXF393,0
104842,426756,NCI-H322M,0
387447,60749,K-562,0
5329102,20279,RXF393,0
148121,2733525,SNB75,0
148121,6252,Hs-578-T,0
2907,5453,HL-60,0
9887053,454216,K-562,0
4114,36314,NCI-H226,0
60749,426756,NCI-H322M,0
60749,5790,NCI-H322M,0
5426,657237,RXF393,0
104842,644241,T47D,0
5311,36314,MDA-MB-468,0
60953,426756,NCI-H322M,0
406563,5790,SK-MEL-2,0
406563,123596,CCRF-CEM,0
5329102,123596,HCT-15,0
29327,454216,UACC-257,0
9444,2733525,NCI-H322M,0
9444,2187,LOXIMVI,0
77082,123596,SK-MEL-2,0
135398738,443939,RXF393,0
148124,60953,CCRF-CEM,0
148124,60953,NCI-H322M,0
104842,644241,K-562,0
3011155,2187,HL-60,0
5329102,644241,HCT-15,0
36314,5394,OVCAR-5,0
3011155,457193,786-0,0
5311,444795,MDA-MB-231,0
2187,60953,HCT-15,0
68740,3902,CCRF-CEM,0
9941095,3011155,LOXIMVI,0
5329102,2662,RXF393,0
9444,457193,HL-60,0
9444,457193,NCI-H322M,0
36314,60953,HT-29,0
4842,454216,PC-3,0
6194,36462,NCI-H322M,0
4114,148124,SK-MEL-5,0
4114,148124,SK-OV-3,0
104842,123596,T47D,0
3062316,3902,SK-MEL-28,0
6442177,5453,RXF393,0
406563,457193,HCT-116,0
406563,457193,MCF7,0
2478,454216,Hs-578-T,0
3690,454216,UACC-257,0
444795,657237,SF268,0
2141,2733525,HT-29,0
2141,457193,LOXIMVI,0
2141,249332,U251,0
57469,148124,SK-MEL-5,0
4114,148124,SF539,0
119182,20279,NCI-H322M,0
3062316,644241,SK-MEL-28,0
444795,20279,SF268,0
77082,457193,SK-MEL-5,0
2907,241902,CAKI-1,0
9887053,454216,NCI-H322M,0
5790,3902,NCI-H226,0
148124,104741,NCI-H322M,0
104842,3902,T47D,0
9941095,2662,SK-MEL-28,0
29327,241902,K-562,0
29327,241902,SK-MEL-5,0
460612,36462,NCI-H322M,0
5284616,60953,CCRF-CEM,0
454216,3062316,COLO-205,0
4842,126941,CAKI-1,0
5746,36314,NCI-H322M,0
57469,163659,UACC-62,0
119182,163659,UACC-257,0
104842,3902,OVCAR-5,0
249332,3902,CCRF-CEM,0
249332,3902,Hs-578-T,0
5311,36314,T47D,0
11683,3950,HL-60,0
5352062,2187,OVCAR-5,0
9444,60749,NCI-H322M,0
77082,6442177,NCI-H23,0
135401907,126941,CAKI-1,0
6239,5394,CAKI-1,0
123608,4211,CAKI-1,0
4114,60749,RXF393,0
119182,123596,DU-145,0
60749,123596,CCRF-CEM,0
148124,426756,OVCAR-5,0
249332,3902,IGROV-1,0
2478,457193,SR,0
5329102,60749,RXF393,0
9444,2187,T47D,0
3690,5799,RXF393,0
36314,3011155,TK10,0
3385,216326,SR,0
5394,126941,MDA-MB-231,0
4114,657237,OVCAR-3,0
60749,644241,OVCAR-3,0
148124,2187,TK10,0
5453,3902,OVCAR-3,0
60953,2733525,NCI-H322M,0
68740,249332,SK-MEL-2,0
644241,2187,HOP-92,0
5329102,644241,HL-60,0
5352062,123596,UACC-62,0
148121,5790,Hs-578-T,0
72466,9941095,RPMI-8226,0
4842,36314,OVCAR-3,0
5746,126941,CAKI-1,0
5746,126941,M14,0
3011155,249332,786-0,0
11683,60198,HOP-92,0
123596,249332,HCT-116,0
9941095,5394,RXF393,0
2478,2733525,U251,0
5329102,6252,RXF393,0
77082,3902,CCRF-CEM,0
3385,36462,RPMI-8226,0
2578,454216,KM12,0
4114,249332,SN12C,0
104842,644241,OVCAR-5,0
3011155,104741,HL-60,0
2187,20279,RPMI-8226,0
2187,2662,HCT-15,0
2723601,11683,HOP-92,0
9444,36314,NCI-H322M,0
2123,60198,OVCAR-3,0
439693,148124,NCI-H226,0
3011155,2662,786-0,0
68740,123596,OVCAR-3,0
406563,457193,COLO-205,0
2478,148124,CAKI-1,0
5352062,3902,CCRF-CEM,0
148121,20279,BT-549,0
36314,119182,HT-29,0
439693,444795,HCC2998,0
57469,454216,SK-MEL-5,0
119182,2187,RPMI-8226,0
148124,3011155,OVCAR-8,0
3011155,123596,HCC2998,0
3011155,644241,MDA-MB-231,0
68740,2662,CCRF-CEM,0
123596,20279,MOLT-4,0
644241,2187,BT-549,0
5329102,3011155,IGROV-1,0
29327,454216,BT-549,0
9444,644241,A498,0
36314,3011155,HCT-116,0
5284616,123596,MDA-MB-231,0
2907,119182,HL-60,0
2708,62770,NCI-H322M,0
4211,3062316,CCRF-CEM,0
241902,3062316,CCRF-CEM,0
119182,5394,NCI-H322M,0
148124,5394,OVCAR-8,0
104842,249332,T47D,0
104741,5329102,CCRF-CEM,0
68740,5284616,CCRF-CEM,0
68740,3011155,K-562,0
406563,9941095,RPMI-8226,0
5329102,104842,RXF393,0
148121,36314,T47D,0
9444,457193,OVCAR-8,0
5284616,5394,CCRF-CEM,0
119182,3902,CCRF-CEM,0
119182,644241,ACHN,0
9941095,3011155,RXF393,0
406563,6252,NCI-H322M,0
406563,249332,SN12C,0
5329102,2662,SK-MEL-28,0
657237,3902,NCI-H226,0
36314,644241,TK10,0
5746,454216,HCT-15,0
119182,249332,HCT-116,0
60699,148124,CCRF-CEM,0
148124,3902,SK-MEL-28,0
104842,5790,NCI-H322M,0
104842,123596,NCI-H322M,0
11683,216326,SK-MEL-5,0
148121,20279,786-0,0
9444,3011155,SK-MEL-28,0
9444,2187,SF539,0
2123,3950,HL-60,0
4842,148124,HL-60,0
5790,126941,T47D,0
104842,444795,NCI-H322M,0
60953,104741,BT-549,0
68740,444795,SR,0
148121,20279,MDA-MB-468,0
6239,126941,M14,0
5284616,123596,NCI-H322M,0
2907,9444,HL-60,0
5426,126941,SF539,0
5329102,60953,SK-MEL-28,0
444795,126941,SF268,0
2123,11683,NCI-H226,0
5284616,644241,T47D,0
148124,36314,NCI-H322M,0
104842,457193,HL-60,0
249332,3902,HCT-15,0
2187,5329102,HCC2998,0
68740,5394,RPMI-8226,0
5329102,2733525,HL-60,0
5329102,123596,IGROV-1,0
36314,20279,T47D,0
451668,36314,MCF7,0
2907,667490,CAKI-1,0
9887053,454216,OVCAR-5,0
3657,2662,MOLT-4,0
5394,20279,EKVX,0
57469,454216,SF539,0
119182,126941,786-0,0
104842,5394,RXF393,0
249332,3902,HT-29,0
387447,60749,T47D,0
5311,36314,HL-60,0
123596,3902,MDA-MB-231,0
9444,2733525,SF539,0
9444,6252,OVCAR-3,0
9444,2187,A498,0
36314,60953,NCI-H322M,0
2708,6194,HT-29,0
60749,2187,OVCAR-3,0
60749,123596,ACHN,0
5426,20279,RXF393,0
387447,20279,RPMI-8226,0
60953,3011155,MDA-MB-231,0
6442177,60749,RXF393,0
6442177,123596,MDA-MB-231,0
5329102,5394,HCT-15,0
9703,126941,RXF393,0
9444,457193,SF539,0
443939,3902,RPMI-8226,0
451668,5453,A498,0
77082,9941095,SK-MEL-2,0
4842,36314,NCI-H522,0
5746,454216,NCI-H226,0
2708,6194,NCI-H322M,0
3657,249332,K-562,0
4114,5394,OVCAR-3,0
119182,163659,CCRF-CEM,0
148124,3902,TK10,0
2187,6442177,CCRF-CEM,0
406563,457193,SK-MEL-5,0
406563,5311,MOLT-4,0
5329102,119182,RXF393,0
5799,36314,HT-29,0
444795,5453,SF268,0
3385,4212,RPMI-8226,0
439693,454216,COLO-205,0
454216,3062316,A549,0
2708,3950,NCI-H322M,0
57469,454216,HT-29,0
60749,3011155,K-562,0
104842,2187,NCI-H322M,0
3011155,5790,OVCAR-3,0
3950,4212,BT-549,0
29327,241902,HT-29,0
9444,36314,LOXIMVI,0
9444,60749,OVCAR-3,0
3690,36314,CCRF-CEM,0
657237,3902,HCT-116,0
444795,249332,SF268,0
72466,3902,MCF7,0
439693,454216,SF268,0
426756,3902,K-562,0
4211,5329102,CCRF-CEM,0
4114,241902,NCI-H522,0
4114,249332,OVCAR-4,0
119182,249332,T47D,0
60749,2733525,NCI-H322M,0
387447,60749,MOLT-4,0
387447,60749,RPMI-8226,0
3950,4212,SN12C,0
9444,2733525,LOXIMVI,0
9444,104741,NCI-H322M,0
3690,20279,RPMI-8226,0
2123,11683,SK-MEL-5,0
6239,249332,CAKI-1,0
123608,36314,U251,0
439693,454216,UACC-62,0
5284616,5394,NCI-H322M,0
454216,5284616,Hs-578-T,0
2578,126941,786-0,0
4114,241902,RPMI-8226,0
60699,36314,RPMI-8226,0
60749,60953,CCRF-CEM,0
60749,644241,ACHN,0
148124,3011155,SK-MEL-28,0
5311,2187,UACC-62,0
5311,644241,NCI-H522,0
60953,2187,786-0,0
11683,45055483,HOP-92,0
6442177,2662,RXF393,0
5352062,2187,NCI-H322M,0
9444,5394,KM12,0
9444,5394,OVCAR-5,0
72466,644241,K-562,0
2141,126941,HCT-15,0
119182,644241,NCI-H522,0
5426,454216,OVCAR-3,0
104842,2733525,NCI-H322M,0
2187,457193,HL-60,0
9941095,3902,T47D,0
5329102,426756,HCT-15,0
439693,457193,SF539,0
119182,2733525,SF295,0
60699,148124,NCI-H522,0
60953,444795,SF295,0
9444,5394,K-562,0
36314,3011155,T47D,0
36314,3902,TK10,0
6239,444795,CAKI-1,0
119182,5790,NCI-H322M,0
60749,3902,SN12C,0
249332,3902,DU-145,0
3011155,104741,HCC2998,0
9941095,123596,HL-60,0
9941095,644241,MDA-MB-231,0
406563,457193,NCI-H522,0
5329102,3902,MDA-MB-231,0
9444,444795,NCI-H322M,0
9444,5394,SK-MEL-28,0
9444,644241,LOXIMVI,0
20279,3902,NCI-H226,0
451668,457193,M14,0
2123,62770,HT-29,0
2733525,657237,HOP-62,0
6194,135413520,PC-3,0
57469,163659,SF539,0
4211,5394,HOP-62,0
119182,123596,CCRF-CEM,0
60749,104741,CCRF-CEM,0
387447,148124,NCI-H322M,0
3011155,644241,RXF393,0
5311,3902,UACC-62,0
406563,9444,NCI-H522,0
29327,454216,RXF393,0
657237,126941,T47D,0
36314,3902,CCRF-CEM,0
3657,2733525,HOP-62,0
135398738,60198,OVCAR-3,0
241902,457193,COLO-205,0
119182,2733525,NCI-H322M,0
60749,163659,TK10,0
5426,444795,OVCAR-3,0
5311,2187,CCRF-CEM,0
11683,45055483,NCI-H322M,0
6442177,3062316,RXF393,0
406563,20279,SK-MEL-2,0
9444,60953,NCI-H322M,0
3690,454216,BT-549,0
36314,3011155,Hs-578-T,0
9887053,454216,MCF7,0
57469,457193,MOLT-4,0
4211,457193,TK10,0
104741,644241,MOLT-4,0
29327,657237,RPMI-8226,0
9444,644241,OVCAR-3,0
3690,454216,HCT-15,0
3690,148124,RPMI-8226,0
36314,3011155,SF268,0
36314,644241,T47D,0
451668,241902,A498,0
123608,457193,CAKI-1,0
5284616,426756,SF295,0
9887053,454216,COLO-205,0
4114,457193,RXF393,0
119182,163659,KM12,0
119182,2187,K-562,0
60953,123596,BT-549,0
60953,644241,RXF393,0
68740,5329102,CCRF-CEM,0
3062316,5394,SK-MEL-28,0
6442177,426756,SK-MEL-28,0
9941095,2733525,MDA-MB-231,0
406563,5284616,CCRF-CEM,0
148121,444795,OVCAR-4,0
148121,457193,SNB75,0
9444,3902,HL-60,0
443939,5453,RPMI-8226,0
451668,36314,NCI-H23,0
439693,249332,K-562,0
5746,126941,EKVX,0
5394,3902,T47D,0
4114,148124,MDA-MB-231,0
3011155,5394,OVCAR-3,0
5311,5284616,SK-MEL-28,0
60953,454216,786-0,0
60953,5394,BT-549,0
6442177,2662,SK-MEL-28,0
9941095,426756,SK-MEL-28,0
406563,426756,SW620,0
406563,6442177,CAKI-1,0
5352062,3011155,OVCAR-5,0
3950,4212,Hs-578-T,0
3950,4212,RPMI-8226,0
443939,9941095,K-562,0
36314,3011155,RXF393,0
36314,3902,SF268,0
451668,36314,A498,0
2907,148124,KM12,0
3657,9941095,CCRF-CEM,0
2578,454216,NCI-H226,0
4114,241902,MOLT-4,0
4114,148124,UACC-257,0
119182,3011155,K-562,0
148124,249332,NCI-H322M,0
11683,36462,CAKI-1,0
11683,60198,OVCAR-3,0
11683,3950,SK-MEL-5,0
104741,36314,LOXIMVI,0
3062316,3011155,SK-MEL-28,0
3062316,123596,HL-60,0
9941095,5453,NCI-H322M,0
5329102,104842,NCI-H322M,0
148121,20279,PC-3,0
9444,60953,LOXIMVI,0
3690,657237,OVCAR-3,0
72466,9941095,K-562,0
77082,3902,K-562,0
135401907,36314,SNB75,0
4842,454216,T47D,0
2907,444795,CAKI-1,0
2907,249332,CAKI-1,0
5746,36314,HT-29,0
387447,657237,NCI-H322M,0
5311,5394,T47D,0
5311,123596,HCC2998,0
60953,644241,BT-549,0
104741,2733525,HL-60,0
644241,3902,CCRF-CEM,0
644241,667490,NCI-H322M,0
406563,5453,CCRF-CEM,0
406563,6442177,T47D,0
5329102,3011155,K-562,0
9703,5394,RXF393,0
9444,2662,HL-60,0
9444,644241,SK-MEL-28,0
3690,126941,OVCAR-4,0
3690,126941,SF539,0
443939,5329102,SK-MEL-2,0
5284616,644241,NCI-H322M,0
2907,454216,HL-60,0
2907,148124,MOLT-4,0
9887053,454216,SF295,0
2141,454216,PC-3,0
4114,249332,BT-549,0
104842,3011155,UACC-62,0
104842,2187,OVCAR-5,0
387447,148124,CCRF-CEM,0
387447,148124,IGROV-1,0
387447,6252,NCI-H322M,0
3011155,657237,NCI-H322M,0
3011155,2733525,CCRF-CEM,0
11683,60198,SR,0
2187,249332,HL-60,0
123596,2662,HCT-116,0
406563,123596,NCI-H322M,0
9444,123596,OVCAR-5,0
3385,11683,CAKI-1,0
426756,457193,RPMI-8226,0
426756,3902,CCRF-CEM,0
2907,148124,HOP-62,0
4114,126941,OVCAR-3,0
3062316,123596,NCI-H322M,0
406563,457193,NCI-H322M,0
5329102,444795,RXF393,0
5352062,644241,SF268,0
9444,119182,NCI-H322M,0
443939,426756,RPMI-8226,0
443939,60953,K-562,0
72466,5790,LOXIMVI,0
72466,2662,RPMI-8226,0
454216,5453,SF295,0
4211,2733525,HL-60,0
4211,9941095,CCRF-CEM,0
